t2,y2,t2,y2;
215262.6214999999,-13.078125,215382.59849999996,11.86644071554997;
215262.6839999999,-13.078125,215382.66099999996,29.86644071554997;
215262.7464999999,35.921875,215382.72349999996,12.86644071554997;
215262.8089999999,-1.078125,215382.78599999996,12.86644071554997;
215262.8714999999,-12.078125,215382.84849999996,11.86644071554997;
215262.9339999999,34.921875,215382.91099999996,22.86644071554997;
215262.9964999999,20.921875,215382.97349999996,8.86644071554997;
215263.0589999999,-16.078125,215383.03599999996,1.8664407155499703;
215263.1214999999,23.921875,215383.09849999996,24.86644071554997;
215263.1839999999,31.921875,215383.16099999996,4.86644071554997;
215263.2464999999,-26.078125,215383.22349999996,23.86644071554997;
215263.3089999999,0.921875,215383.28599999996,20.86644071554997;
215263.3714999999,-6.078125,215383.34849999996,30.86644071554997;
215263.4339999999,-7.078125,215383.41099999996,14.86644071554997;
215263.4964999999,-14.078125,215383.47349999996,24.86644071554997;
215263.5589999999,-32.078125,215383.53599999996,33.86644071554997;
215263.6214999999,-11.078125,215383.59849999996,21.86644071554997;
215263.6839999999,17.921875,215383.66099999996,27.86644071554997;
215263.7464999999,-13.078125,215383.72349999996,12.86644071554997;
215263.8089999999,-29.078125,215383.78599999996,22.86644071554997;
215263.8714999999,-40.078125,215383.84849999996,30.86644071554997;
215263.9339999999,-21.078125,215383.91099999996,24.86644071554997;
215263.9964999999,13.921875,215383.97349999996,15.86644071554997;
215264.0589999999,29.921875,215384.03599999996,25.86644071554997;
215264.1214999999,3.921875,215384.09849999996,12.86644071554997;
215264.1839999999,-11.078125,215384.16099999996,24.86644071554997;
215264.2464999999,-5.078125,215384.22349999996,33.86644071554997;
215264.3089999999,0.921875,215384.28599999996,13.86644071554997;
215264.3714999999,-7.078125,215384.34849999996,5.86644071554997;
215264.4339999999,-0.078125,215384.41099999996,3.8664407155499703;
215264.4964999999,21.921875,215384.47349999996,34.86644071554997;
215264.5589999999,43.921875,215384.53599999996,10.86644071554997;
215264.6214999999,-25.078125,215384.59849999996,3.8664407155499703;
215264.6839999999,-28.078125,215384.66099999996,14.86644071554997;
215264.7464999999,7.921875,215384.72349999996,36.86644071554997;
215264.8089999999,13.921875,215384.78599999996,25.86644071554997;
215264.8714999999,23.921875,215384.84849999996,11.86644071554997;
215264.9339999999,27.921875,215384.91099999996,27.86644071554997;
215264.9964999999,-4.078125,215384.97349999996,5.86644071554997;
215265.0589999999,-6.078125,215385.03599999996,21.86644071554997;
215265.1214999999,-8.078125,215385.09849999996,11.86644071554997;
215265.1839999999,-3.078125,215385.16099999996,18.86644071554997;
215265.2464999999,28.921875,215385.22349999996,4.86644071554997;
215265.3089999999,6.921875,215385.28599999996,12.86644071554997;
215265.3714999999,-11.078125,215385.34849999996,6.86644071554997;
215265.4339999999,-1.078125,215385.41099999996,4.86644071554997;
215265.4964999999,-11.078125,215385.47349999996,20.86644071554997;
215265.5589999999,-2.078125,215385.53599999996,3.8664407155499703;
215265.6214999999,34.921875,215385.59849999996,16.86644071554997;
215265.6839999999,2.921875,215385.66099999996,13.86644071554997;
215265.7464999999,-10.078125,215385.72349999996,17.86644071554997;
215265.8089999999,11.921875,215385.78599999996,16.86644071554997;
215265.8714999999,6.921875,215385.84849999996,21.86644071554997;
215265.9339999999,-7.078125,215385.91099999996,21.86644071554997;
215265.9964999999,5.921875,215385.97349999996,7.86644071554997;
215266.0589999999,32.921875,215386.03599999996,-2.1335592844500297;
215266.1214999999,-6.078125,215386.09849999996,10.86644071554997;
215266.1839999999,-11.078125,215386.16099999996,21.86644071554997;
215266.2464999999,1.921875,215386.22349999996,7.86644071554997;
215266.3089999999,7.921875,215386.28599999996,24.86644071554997;
215266.3714999999,4.921875,215386.34849999996,33.86644071554997;
215266.4339999999,-2.078125,215386.41099999996,28.86644071554997;
215266.4964999999,13.921875,215386.47349999996,0.8664407155499703;
215266.5589999999,-3.078125,215386.53599999996,16.86644071554997;
215266.6214999999,3.921875,215386.59849999996,20.86644071554997;
215266.6839999999,25.921875,215386.66099999996,13.86644071554997;
215266.7464999999,-4.078125,215386.72349999996,2.8664407155499703;
215266.8089999999,-12.078125,215386.78599999996,-2.1335592844500297;
215266.8714999999,-12.078125,215386.84849999996,-0.13355928445002974;
215266.9339999999,3.921875,215386.91099999996,-2.1335592844500297;
215266.9964999999,3.921875,215386.97349999996,5.86644071554997;
215267.0589999999,0.921875,215387.03599999996,-11.13355928445003;
215267.1214999999,-5.078125,215387.09849999996,7.86644071554997;
215267.1839999999,-6.078125,215387.16099999996,-4.13355928445003;
215267.2464999999,4.921875,215387.22349999996,20.86644071554997;
215267.3089999999,3.921875,215387.28599999996,35.86644071554997;
215267.3714999999,0.921875,215387.34849999996,-3.1335592844500297;
215267.4339999999,-4.078125,215387.41099999996,-3.1335592844500297;
215267.4964999999,-23.078125,215387.47349999996,21.86644071554997;
215267.5589999999,-3.078125,215387.53599999996,21.86644071554997;
215267.6214999999,-13.078125,215387.59849999996,5.86644071554997;
215267.6839999999,-17.078125,215387.66099999996,29.86644071554997;
215267.7464999999,-14.078125,215387.72349999996,-8.13355928445003;
